"Port-level Exports"
"Current date: 04/04/2017 3:16 PM (Eastern Daylight Time)"
"Time","Port","Commodity","Country","Containerized Vessel Total Exports Value ($US)","Containerized Vessel Total Exports SWT (kg)",
"2003","Boston, MA (Port)","Total All Commodities","Asia Near East","46,271,489","8,684,176"
"2003","Boston, MA (Port)","Total All Commodities","Asia - South","3,889,889","10,639,016"
"2003","Boston, MA (Port)","Total All Commodities","Asia - Other","124,468,179","101,434,813"
"2003","Boston, MA (Port)","Total All Commodities","Europe","338,864,320","87,351,089"
"2003","Bridgeport, CT (Port)","Total All Commodities","World Total","474,088","258,458"
"2003","Bridgeport, CT (Port)","Total All Commodities","Asia","12,174","549"
"2003","Bridgeport, CT (Port)","Total All Commodities","Asia - Other","12,174","549"
"2003","Fall River, MA (Port)","Total All Commodities","World Total","626,045","533,102"
"2003","Fall River, MA (Port)","Total All Commodities","Europe","123,605","90,017"
"2003","Gloucester, MA (Port)","Total All Commodities","World Total","334,292","56,403"
"2003","Hartford, CT (Port)","Total All Commodities","World Total","839,257","58,407"
"2003","Hartford, CT (Port)","Total All Commodities","Asia","487,758","46,731"
"2003","Hartford, CT (Port)","Total All Commodities","Asia Near East","75,000","928"
"2003","Hartford, CT (Port)","Total All Commodities","Asia - South","78,709","5,865"
"2003","Hartford, CT (Port)","Total All Commodities","Asia - Other","409,049","40,866"
"2003","Hartford, CT (Port)","Total All Commodities","Europe","293,536","9,915"
"2003","New Bedford, MA (Port)","Total All Commodities","World Total","2,737,009","1,022,801"
"2003","New Bedford, MA (Port)","Total All Commodities","Asia","388,493","111,454"
"2003","New Bedford, MA (Port)","Total All Commodities","Asia - Other","388,493","111,454"
"2003","New Bedford, MA (Port)","Total All Commodities","Europe","991,533","239,957"
"2003","New London, CT (Port)","Total All Commodities","World Total","69,268","99,464"
"2003","New London, CT (Port)","Total All Commodities","Asia","21,218","14,664"
"2003","New London, CT (Port)","Total All Commodities","Asia Near East","9,342","329"
"2003","New London, CT (Port)","Total All Commodities","Asia - Other","11,876","14,335"
"2003","Salem, MA (Port)","Total All Commodities","World Total","5,123,895","2,066,371"
"2003","Salem, MA (Port)","Total All Commodities","Asia","103,566","164,925"
"2003","Salem, MA (Port)","Total All Commodities","Asia - Other","103,566","164,925"
"2003","Springfield, MA (Port)","Total All Commodities","World Total","5,350","120,439"
"2003","Springfield, MA (Port)","Total All Commodities","Asia","5,350","120,439"
"2003","Springfield, MA (Port)","Total All Commodities","Asia - South","5,350","120,439"
"2003","Worcester, MA (Port)","Total All Commodities","World Total","127,234","531,769"
"2003","Worcester, MA (Port)","Total All Commodities","Asia","127,234","531,769"
"2003","Worcester, MA (Port)","Total All Commodities","Asia - Other","127,234","531,769"
"2003","Buffalo, NY (District)","Total All Commodities","World Total","125,342,191","25,793,549"
"2003","Buffalo, NY (District)","Total All Commodities","Asia","71,189,479","9,568,345"
"2003","Buffalo, NY (District)","Total All Commodities","Asia Near East","299,357","99,570"
"2003","Buffalo, NY (District)","Total All Commodities","Asia - South","1,008,613","78,143"
"2003","Buffalo, NY (District)","Total All Commodities","Asia - Other","69,891,420","9,391,580"
"2003","Buffalo, NY (District)","Total All Commodities","Europe","51,683,672","14,930,104"
"2003","Buffalo-Niagara Falls, NY (Port)","Total All Commodities","World Total","48,331,429","16,693,849"
"2003","Buffalo-Niagara Falls, NY (Port)","Total All Commodities","Asia","3,272,396","2,567,858"
"2003","Buffalo-Niagara Falls, NY (Port)","Total All Commodities","Asia Near East","299,357","99,570"
"2003","Buffalo-Niagara Falls, NY (Port)","Total All Commodities","Asia - South","139,217","19,106"
"2003","Buffalo-Niagara Falls, NY (Port)","Total All Commodities","Asia - Other","2,843,733","2,450,130"
"2003","Buffalo-Niagara Falls, NY (Port)","Total All Commodities","Europe","44,363,749","13,558,107"
"2003","Rochester, NY (Port)","Total All Commodities","World Total","76,626,286","8,731,081"
"2003","Rochester, NY (Port)","Total All Commodities","Asia","67,917,083","7,000,487"
"2003","Rochester, NY (Port)","Total All Commodities","Asia - South","869,396","59,037"
"2003","Rochester, NY (Port)","Total All Commodities","Asia - Other","67,047,687","6,941,450"
"2003","Rochester, NY (Port)","Total All Commodities","Europe","7,037,574","1,324,446"
"2003","Syracuse, NY (Port)","Total All Commodities","World Total","384,476","368,619"
"2003","Syracuse, NY (Port)","Total All Commodities","Europe","282,349","47,551"
"2003","Charleston, SC (District)","Total All Commodities","World Total","7,793,333,748","3,974,193,360"
"2003","Charleston, SC (District)","Total All Commodities","Asia","1,762,133,289","1,305,962,548"
"2003","Charleston, SC (District)","Total All Commodities","Asia Near East","353,372,921","172,570,706"
"2003","Charleston, SC (District)","Total All Commodities","Asia - South","181,761,017","146,291,699"
"2003","Charleston, SC (District)","Total All Commodities","Asia - Other","1,239,263,153","993,903,490"
"2003","Charleston, SC (District)","Total All Commodities","Europe","4,523,841,100","1,813,265,170"
"2003","Charleston, SC (Port)","Total All Commodities","World Total","7,792,771,686","3,973,947,716"
"2003","Charleston, SC (Port)","Total All Commodities","Asia","1,761,650,918","1,305,825,876"
"2003","Charleston, SC (Port)","Total All Commodities","Asia Near East","353,362,921","172,550,700"
"2003","Charleston, SC (Port)","Total All Commodities","Asia - South","181,761,017","146,291,699"
"2003","Charleston, SC (Port)","Total All Commodities","Asia - Other","1,238,790,782","993,786,824"
"2003","Charleston, SC (Port)","Total All Commodities","Europe","4,523,776,909","1,813,194,698"
"2003","Georgetown, SC (Port)","Total All Commodities","World Total","562,062","245,644"
"2003","Georgetown, SC (Port)","Total All Commodities","Asia","482,371","136,672"
"2003","Georgetown, SC (Port)","Total All Commodities","Asia Near East","10,000","20,006"
"2003","Georgetown, SC (Port)","Total All Commodities","Asia - Other","472,371","116,666"
"2003","Georgetown, SC (Port)","Total All Commodities","Europe","64,191","70,472"
"2003","Chicago, IL (District)","Total All Commodities","World Total","291,954,877","105,450,921"
"2003","Chicago, IL (District)","Total All Commodities","Asia","49,919,217","36,892,125"
"2003","Chicago, IL (District)","Total All Commodities","Asia Near East","6,505,573","2,870,978"
